id,text,estimated_label
170,حافظ ار در گوشه محراب می‌نالد رواست,hafez
171,نشانی زان پری تا در خیال است,hafez
172,در وفای عشق تو مشهور خوبانم چو شمع,hafez
173, ای روی ماه منظر تو نوبهار حسن,hafez
174,تا چند باشیم از بی نصیبان,saadi
175,کجا روم که دلم پای بند مهر کسیست,saadi
176,که تا قیامت از این آستان بگردانی,saadi
177,چرا که وعده تو کردی و او به جا آورد,saadi
178,شکر ایزد که ز تاراج خزان رخنه نیافت,hafez
179,غزل گفتی و در سفتی بیا و خوش بخوان حافظ,hafez
180,زهی خجالت مردم چرا به سر ندویدم,hafez
181,سعدی چو گرفتار شدی تن به قضا ده,saadi
182,صبا تو نکهت آن زلف مشک بو داری,hafez
183,خدا را ای رقیب امشب زمانی دیده بر هم نه,hafez
184,وجود مرده از آن آب جانور می‌گشت,saadi
185,دیوانه شده دوان به هر سوی,saadi
186,کز وی هزار سوز مرا در جگر فتاد,saadi
187,روزی چو پادشاهان خواهم که برنشینی,saadi
188,وز جانب او عزیزتر نیست,saadi
189,گفتی که چون من در زمی دیگر نباشد آدمی,saadi
190, حدیث یا شکرست آن که در دهان داری,saadi
191,ز توبه خانه تنهایی آمدم بر بام,saadi
192,همه کس را نتوان گفت که بینایی هست,saadi
193,بنده وارت به سلام آیم و خدمت بکنم,hafez
194,دیدار دوستان که ببینند مرهمست,saadi
195,نازنین‌تر ز قدت در چمن ناز نرست,hafez
196,ما به یک شربت چنین بیخود شدیم,saadi
197,غم دنیای دنی چند خوری باده بخور,hafez
198,حافظ ار جان طلبد غمزه مستانه یار,hafez
199,گر جان طلبی فدای جانت,saadi
200,من دست نخواهم برد الا به سر زلفت,saadi
201, درخت دوستی بنشان که کام دل به بار آرد,hafez
202,رها کن راه بدعهدی و اندر عهد ایشان آی,saadi
203,سرو ندیدم بدین صفت متمایل,saadi
204,گوش بر ناله مطرب کن و بلبل بگذار,saadi
205,باور از بخت ندارم که تو مهمان منی,saadi
206,کیمخت خارپشت ز سنجاب خوشترست,hafez
207,هم آتشی زده‌ای تا نفیر می‌آید,saadi
208,آرزومند کعبه را شرط است,saadi
209,مرا تو بر سر آتش نشانده‌ای عجب آنک,saadi
210,عجب می‌دارم از هامون که چون دریا نمی‌باشد,saadi
211,زشت نتوان گفت زیبا می‌کند,saadi
212,خجسته روز کسی کز درش تو بازآیی,saadi
213,رویی نتوان گفت که حسنش به چه ماند,saadi
214,ز مروارید گوشم در جهان به,hafez
215,دگر ز منزل جانان سفر مکن درویش,hafez
216,گیرند مردم دوستان نامهربان و مهربان,saadi
217,به بوی او دل بیمار عاشقان چو صبا,hafez
218,سرمست بتی لطیف ساده,saadi
219,در شب هجران مرا پروانه وصلی فرست,hafez
220,ببین که تا به چه حدم همی‌کند تحمیق,hafez
221,وین برکشیده گنبد نیلی حصار هم,hafez
222,حافظ آن ساعت که این نظم پریشان می‌نوشت,hafez
223,از آن طرف نپذیرد کمال او نقصان,saadi
224,نه آن چنان به تو مشغولم ای بهشتی رو,saadi
225,نه یاری سست پیمان است سعدی,saadi
226,تو چنان در دل من رفته که جان در بدنی,saadi
227,شب بر آنم که مگر روز نخواهد بودن,saadi
228,به کسی نگر که ظلمت بزداید از وجودت,saadi
229,زاهد از کوچه رندان به سلامت بگذر,hafez
230,چو بت به کعبه نگونسار بر زمین افتد,saadi
231,به ضرورت جفای او ببریم,saadi
232,نظری به لشکری کن که هزار خون بریزی,saadi
233,این یک دو دم که مهلت دیدار ممکن است,saadi
234,برسانش ز من ای پیک صبا پیغامی,hafez
235,روزی به نماز دیگر آورد,saadi
236,می‌ای دارم چو جان صافی و صوفی می‌کند عیبش,hafez
237,گر دست رسد در سر زلفین تو بازم,hafez
238,که گفته است که صد دل به غمزه‌ای ببری,saadi
239,ای خضر حلالت نکنم چشمهٔ حیوان,saadi
240,به بال و پر مرو از ره که تیر پرتابی,hafez
241,ابروی یار در نظر و خرقه سوخته,hafez
242,کنون امید بخشایش همی‌دارم که مسکینم,saadi
243,آه من باد به گوش تو رساند هرگز,hafez
244,درویش را نباشد برگ سرای سلطان,saadi
245,ای دل به کوی عشق گذاری نمی‌کنی,hafez
246,کاین همه شور در جهان انداخت,saadi
247,حافظ نه حد ماست چنین لاف‌ها زدن,hafez
248,چون روی تو دلفریب و دلبند,saadi
249,که دیر مست شود هر که می خورد به دوام,hafez
250,که سحرگه شکفتنم هوس است,hafez
251,وان که این مجلس نجوید زندگی بر وی حرام,hafez
252,شادی مجلسیان در قدم و مقدم توست,hafez
253,که دل به غمزه خوبان مده که سنگ و سبوست,saadi
254,دیدار در حجاب و معانی برابر است,saadi
255,چرا و چون نرسد بندگان مخلص را,saadi
256,ای برادر که حال ما دگر است,saadi
257,دلیل روی تو هم روی توست سعدی را,saadi
258,می بهشت ننوشم ز دست ساقی رضوان,hafez
259,روشنت گردد این حدیث چو روز,saadi
260,چو بر در تو من بینوای بی زر و زور,hafez
261,به جان دوست که در اعتقاد سعدی نیست,saadi
262,در مذهب طریقت خامی نشان کفر است,hafez
263,که نام قند مصری برد آنجا,hafez
264,غم و اندیشه در آن دایره هرگز نرود,saadi
265,دور فلکی یک سره بر منهج عدل است,hafez
266,با طینت اصلی چه کند بدگهر افتاد,hafez
267, شب عاشقان بی‌دل چه شبی دراز باشد,saadi
268,تا ظن برم که روی تو ماه است یا پری,saadi
269,مطربا پرده بگردان و بزن راه عراق,hafez
270,از گفته کمال دلیلی بیاورم,hafez
271,شکر خدا که هر چه طلب کردم از خدا,hafez
272, خوشا دلی که مدام از پی نظر نرود,hafez
273,ور به میدان می‌روی از تیرباران برمگرد,saadi
274,دست گیر این پنج روزم در حیات,saadi
275, رفتی و نمی‌شوی فراموش,saadi
276,باشد که غلام خویشتن خوانی,saadi
277,دیده به سوی دیگری دارم و دل به سوی او,saadi
278,گر چه ماه رمضان است بیاور جامی,hafez
279,زلف سنبل به نسیم سحری می‌آشفت,hafez
280,گر بهاری باز باشد لیس بعد الورد برد,saadi
281,موضع ناز است و غرور ای صنم,saadi
282,جفای پرده درانم تفاوتی نکند,saadi
283,آفتاب از منظر افتد در رواق,hafez
284,تو ز ما فارغ و ما از تو پریشان تا چند,saadi
285,من این طمع نکنم کز تو کام برگیرم,saadi
286,ساقی بده آن کوزهٔ خمخانه به درویش,saadi
287,چشم و ابروی تو زیبا قد و بالای تو خوش,saadi
288,رنج‌هایی کشیده‌ام که مپرس,hafez
289,تو آهو چشم نگذاری مرا از دست تا آن گه,saadi
290,کمند سعدی اگر شیر شرزه صید کند,saadi
291,زین بیشتر بباید بر هجرت احتمالی,saadi
292,این باد بهار بوستان است,saadi
293,گوییا بر من از بهشت خدای,saadi
294,نبود چنگ و رباب و نبید و عود که بود,hafez
295,امسال کار من بتر از پار بنگرید,saadi
296,هر پاره از دل من و از غصه قصه‌ای,saadi
297,دگر به گوش فراموش عهد سنگین دل,saadi
298,نفسی تزول عاقبة الامر فی الهوی,saadi
299,برگ نوا تبه شد و ساز طرب نماند,hafez
300,بیا ای دوست ور دشمن ببیند,saadi
301,مگر به روی دلارای یار ما ور نی,saadi
302,دلبر از ما به صد امید ستد اول دل,hafez
303,من اگر هزار خدمت بکنم گناهکارم,saadi
304,گر همه عمر نداده‌ست کسی دل به خیال,saadi
305,تاب وغا نیاورد قوت هیچ صفدری,saadi
306,آواز سؤال حیرت آمد,hafez
307,آفت دور سمایی می‌کند,saadi
308,چه حاجت است بگوید شکر که شیرینم,saadi
309,تو را رسد که غلامان ماه رو داری,saadi
310,گفتم ز لعل نوش لبان پیر را چه سود,hafez
311,نهادم عقل را ره توشه از می,hafez
312,فقیر از رقص در حالت خطیب از می خرابستی,saadi
313,در غم افزوده‌ام آنچ از دل و جان کاسته‌ام,hafez
314,بیچاره در هلاک تن خویشتن عجول,saadi
315,محبت بر محبت می‌فزایی,saadi
316,نخوت باد دی و شوکت خار آخر شد,hafez
317,چندین که برشمردم از ماجرای عشقت,saadi
318,دوش دور از رویت ای جان جانم از غم تاب داشت,hafez
319,گنج زر گر نبود کنج قناعت باقیست,hafez
320,سر مکش تا نکشد سر به فلک فریادم,hafez
321,که دوستی و ارادت هزار چندان است,saadi
322,قیاس کن که دلم را چه تیر عشق رسید,saadi
323,که رستگاری جاوید در کم آزاریست,hafez
324,همای زلف شاهین شهپرت را,hafez
325,سر گیسوی تو در هیچ سری نیست که نیست,saadi
326,خون شد دل من ندیده کامی,saadi
327,خواب می‌گیرد و شهری ز غمت بیدارند,saadi
328,برقع فروهلد به جمال آفتاب را,saadi
329,سخت کمان چه غم خورد گر تو ضعیف جوشنی,saadi
330,غبار خط بپوشانید خورشید رخش یا رب,hafez
331,کارم چو زلف یار پریشان و درهمست,saadi
332,چون دل ببردی دین مبر هوش از من مسکین مبر,saadi
333,به ترکستان رویش خال هندو,saadi
334,تا به خلوتگه خورشید رسی چرخ زنان,hafez
335,بعد از این خرقه صوفی به گرو نستانند,hafez
336,ما و دردی کشان مجلس درد,saadi
337,جرم بیگانه نباشد که تو خود صورت خویش,saadi
338, نوبهار است در آن کوش که خوشدل باشی,hafez
339,با همه پادشهی بنده تورانشاهم,hafez
340,صاحب نظران لاف محبت نپسندند,saadi
341,به سخن باز نمی‌باشد و چشم از نازش,saadi
342,با رستم دستان بزند هر که درافتاد,saadi
343,گوش کن پند ای پسر وز بهر دنیا غم مخور,hafez
344,باک از جفای دشمن و جور رقیب نیست,saadi
345,زان گه که عشق دست تطاول دراز کرد,hafez
346,زحمت ببرد ز پیش ایوان,hafez
347,کس نداند که نهان می‌سوزم,saadi
348,جرمش این بود که اسرار هویدا می‌کرد,hafez
349,توبه صوفی به زیان آوری,saadi
350,خود را لطافتی و جمالی نیافته,saadi
351,به زیر دلق ملمع کمندها دارند,hafez
352,و آهنگ بازگشت به راه حجاز کرد,hafez
353,در حضرت کریم تمنا چه حاجت است,hafez
354,که به یک دل دو دوست نتوان داشت,saadi
355,وآن شکن برشکن قبائل زلف,saadi
356,که حال ما نه چنین بودی ار چنان بودی,saadi
357,هر روزش از گریبان سر برنکرد ماهی,saadi
358,بینی که چه گرم آتش در سوخته می‌گیرد,saadi
359,گر کند انعام او در من مسکین نگاه,saadi
360,خلاص بخش خدایا همه اسیران را,hafez
361,بسیار دیده‌ایم درختان میوه‌دار,saadi
362,پای ما لنگ است و منزل بس دراز,hafez
363,نکته‌ها رفت و شکایت کس نکرد,hafez
364,گل عزیز است غنیمت شمریدش صحبت,hafez
365,که عاشقان ره بی‌همتان به خود ندهند,hafez
366,سعدی اگر خون و مال صرف شود در وصال,saadi
367,به عاشقان نظری کن به شکر این نعمت,saadi
368,ساقیا برخیز و درده جام را,hafez
369,همچنان عذرت بباید خواستن تقصیر را,saadi
370,رقیبم سرزنش‌ها کرد کز این باب رخ برتاب,saadi
371,سعدیا زنده عارفی باشی,saadi
372,مردم بیگانه را خاطر نگه دارند خلق,saadi
373,گرم ترانه چنگ صبوح نیست چه باک,hafez
374,هر عهد که بستم هوسی بود و هوایی,saadi
375,گر نه شیرین نمک پراکندی,saadi
376, شادی به روزگار گدایان کوی دوست,saadi
377,بند پایی که به دست تو بود تاج سر است,saadi
378,بیرون نمی‌توان کرد الا به روزگاران,saadi
379,چند پوید به هوای تو ز هر سو حافظ,hafez
380,صورتی دارد ولی جانیش نیست,saadi
381,کارم ز دست رفت و نیامد به دست یار,saadi
382,دیگر چو شب نزدیک شد چون زلف در پا می‌برد,saadi
383,روان روشن سعدی که شمع مجلس توست,saadi
384,باشد که تفرج بکنم دست و کمانت,saadi
385,ز بانگ رود و آوای سرودم,saadi
386,اهل دل داند که تا زخمی نخورد آهی نکرد,saadi
387,شربتی تلختر از زهر فراقت باید,saadi
388,زبان کلک تو حافظ چه شکر آن گوید,hafez
389,که ره از صومعه تا دیر مغان این همه نیست,hafez
390,که در آن کوی چو من کشته بسی افتاده‌ست,saadi
391,نباشد بر سر سرو آفتابی,saadi
392,گر به شکار آمده‌ست دولت نخجیر او,saadi
393,شاهدان گر دلبری زین سان کنند,hafez
394,دوش بی روی تو آتش به سرم بر می‌شد,saadi
395,تا به هر غمزه‌ای دلی ببری,saadi
396,خار بردارم اگر دست به خرما نرسد,saadi
397,ور دوست دست می‌دهدت هیچ گو مباش,saadi
398,سخن سعدی بشنو که تو خود زیبایی,saadi
399,وقت آن آمد که خوش باشد کنار سبزه جوی,hafez
400,که آفت‌هاست در تاخیر و طالب را زیان دارد,saadi
401,گر دیگران به منظر زیبا نظر کنند,saadi
402,روی و ریای خلق به یک سو نهاده‌ایم,hafez
403,نچمی که شاخ طوبی به ستیزه برنریزد,saadi
404,که مهرش در میان جان و مهرش بر دهان باشد,saadi
405,نقش غلط مبین که همان لوح ساده‌ایم,hafez
406, وقت‌ها یک دم برآسودی تنم,saadi
407,عهد ما با لب شیرین دهنان بست خدا,hafez
408,که خوش است عیش مردم به روایح عبیرم,hafez
409,ما خوشه چین خرمن اصحاب دولتیم,saadi
410, صبح است ساقیا قدحی پرشراب کن,hafez
411,مرا رسد که برآرم هزار ناله چو بلبل,saadi
412,اگر نه باده غم دل ز یاد ما ببرد,hafez
413,گو غنیمت شمار صحبت ما,hafez
414,قبای اطلس آن کس که از هنر عاریست,hafez
415,مگسی کجا تواند که بیفکند عقابی,saadi
416,رندی و هوسناکی در عهد شباب اولی,hafez
417,بیا بیا که غلام توام بیا ای دوست,hafez
418,زمین به اختر میمون و طالع مسعود,hafez
419,کمال سر محبت ببین نه نقص گناه,saadi
420,کاین پای لایقست که بر چشم ما رود,saadi
421,که بر وی این همه باران شوق می‌بارم,saadi
422,فردا که شوم خاک چه سود اشک ندامت,hafez
423,ای گوی حسن برده ز خوبان روزگار,saadi
424,آن که بی جرم برنجید و به تیغم زد و رفت,hafez
425,چون به خلوت می‌روند آن کار دیگر می‌کنند,hafez
426,زین معما هیچ دانا در جهان آگاه نیست,hafez
427,سعدی از سرزنش خلق نترسد هیهات,saadi
428,بازآید و برهاندم از بند ملامت,hafez
429,بیار ای لعبت ساقی بگو ای کودک مطرب,saadi
430,هر چه زان تلخ‌تر بخواهی گفت,saadi
431,نخفته‌ام ز خیالی که می‌پزد دل من,hafez
432,خرقه زهد مرا آب خرابات ببرد,hafez
433,ندای عشق تو دیشب در اندرون دادند,hafez
434,آن عشوه داد عشق که مفتی ز ره برفت,hafez
435,ماجرای عشق از اول تا به پایان گفته‌اند,saadi
436,گر قلب دلم را ننهد دوست عیاری,saadi
437,ما با توایم و با تو نه‌ایم اینت بلعجب,hafez
438,لعلست یا لبانت قندست یا دهانت,saadi
439,پای سرو بوستانی در گل است,saadi
440,نور ز خورشید جوی بو که برآید,hafez
441,لطیف جوهر و جانی غریب قامت و شکلی,saadi
442,ستاره‌ای بدرخشید و ماه مجلس شد,hafez
443,جلوه بخت تو دل می‌برد از شاه و گدا,hafez
444,چو عقرب دشمنان داری و من با تو چو میزانم,saadi
445, قتل این خسته به شمشیر تو تقدیر نبود,saadi
446,بهشتی صورتی در جوف محمل,saadi
447,کس رد نتواند کرد آن را که تو بگزینی,saadi
448,فتاد و چون من سودازده به سر می‌گشت,saadi
449,دل خود دریغ نیست که از دست من برفت,saadi
450,پروانه راحت بده ای شمع که امشب,saadi
451,جز عهد و وفای تو که محلول نگردد,saadi
452,دیده نگه داشتیم تا نرود دل,saadi
453,سر درس عشق دارد دل دردمند حافظ,hafez
454,برو ای سپر ز پیشم که به جان رسید پیکان,saadi
455,یک بارگی جدا ز کلاه و کمر فتاد,saadi
456,اگر تسبیح می‌فرمود اگر زنار می‌آورد,hafez
457,مغبچه‌ای می‌گذشت راهزن دین و دل,hafez
458,مگر کسی که بود در طبیعتش مجبول,saadi
459, به خاک پای عزیزت که عهد نشکستم,saadi
460,به سمع مردم هشیار در نمی‌گنجد,saadi
461,جوهری عقل در بازار حسن,saadi
462,سرابستان در این موسم چه بندی,saadi
463,بگذار مشک و بوی سر زلف او بیار,hafez
464,به تیغ مرگ شود دست من رها ای دوست,saadi
465,محراب و کمانچه ز دو ابروی تو سازم,hafez
466,گر سر برود در سر سودای ایازم,hafez
467, بیا که رایت منصور پادشاه رسید,hafez
468,انتبه قبل السحر یا ذالمنام,saadi
469,خور ز حکم تو سر نمی‌تابد,saadi
470,به صدر مصطبه بنشین و ساغر می‌نوش,hafez
471,در راه جام و ساقی مه رو نهاده‌ایم,hafez
472,خصم را پای گریز از سر میدان تو نیست,saadi
473,چو مستان جامه را بدرید بر تن,saadi
474,چون خاک شوم باد به گوشت برساند,saadi
475,ما تماشاکنان کوته دست,saadi
476,چنانم در دلی حاضر که جان در جسم و خون در رگ,saadi
477,ذکر سودای زلیخا پیش یوسف کرده‌اند,saadi
478,داعی دولت به هر مقام که هستیم,saadi
479,قدر تو نداند آن کز زجر تو بگریزد,hafez
480,ز کار و بار جهان گر شهیست عار آید,saadi
481,به شکرخنده لبت گفت مزادی طلبیم,hafez
482,دل بر نمک لبت کبابی,saadi
483,نیک نکردی که نکردی وفا,saadi
484,صبا گر چاره داری وقت وقت است,hafez
485,که ناز بر فلک و حکم بر ستاره کنم,hafez
486,محرم راز دل شیدای خود,hafez
487,نخل تناور کند ز دانه خرما,saadi
488,چون دوست گرفتی چه غم از دشمن خونخوار؟,saadi
489,رضا به حکم قضا اختیار کن سعدی,saadi
490,آن که هرگز بر آستانه عشق,saadi
491,صد پیرهن قبا کنم از خرمی اگر,saadi
492,گفتم نهایتی بود این درد عشق را,saadi
493,نیاید هیچ در چشمش به جز خاک سر کویت,saadi
494,که گرد بیهده کم گرد و بیشتر می‌گشت,saadi
495,هیچ است آن دهان و نبینم از او نشان,hafez
496,نماز شام به بام ار کسی نگاه کند,saadi
497,بی ماه مهرافروز خود تا بگذرانم روز خود,hafez
498,مکن که دست برآرم به ربنا ای دوست,saadi
499,در ازل داده‌ست ما را ساقی لعل لبت,hafez
500,مردم از قاتل عمدا بگریزند به جان,saadi
501,اگر چه موی میانت به چون منی نرسد,saadi
502,تشنه لب کردی و گردان را در آب انداختی,hafez
503,که روی چون قمرت شمسه‌ایست پرگاری,saadi
504,فالی به چشم و گوش در این باب می‌زدم,hafez
505,چون نیک بدیدم به حقیقت به از آنی,saadi
506,خال سرسبز تو خوش دانه عیشیست ولی,hafez
507,سعدی اگر زخم خوری غم مخور,saadi
508,بهشت روی من آن لعبت پری رخسار,saadi
509,قدمی که برگرفتی به وفا و عهد یاران,saadi
510,که کند حافظ از او دیده دل نورانی,hafez
511,چه خون که در دلم افتاد همچو جام و نشد,hafez
512,صاد قلبی ما تمشی زاد وجدی ما عبر,saadi
